iter	Passed	Remaining
0	10	10148
1	19	9551
2	29	9640
3	37	9306
4	45	9070
5	54	9059
6	64	9100
7	73	9053
8	82	9086
9	92	9130
10	100	9049
11	108	8905
12	115	8767
13	122	8651
14	130	8562
15	138	8505
16	146	8466
17	153	8382
18	160	8309
19	168	8249
20	176	8206
21	184	8209
22	193	8205
23	202	8231
24	211	8238
25	219	8229
26	230	8305
27	239	8314
28	247	8292
29	254	8242
30	262	8195
31	269	8149
32	276	8114
33	285	8110
34	293	8086
35	300	8050
36	307	8014
37	315	7977
38	322	7944
39	331	7946
40	339	7950
41	348	7958
42	356	7932
43	363	7901
44	371	7884
45	379	7880
46	387	7865
47	395	7848
48	403	7828
49	410	7794
50	418	7787
51	427	7785
52	436	7796
53	445	7806
54	454	7801
55	462	7789
56	469	7762
57	476	7746
58	485	7740
59	492	7721
60	500	7697
61	507	7679
62	514	7653
63	522	7642
64	530	7633
65	541	7663
66	550	7668
67	558	7658
68	568	7674
69	577	7667
70	586	7674
71	594	7666
72	603	7661
73	611	7657
74	620	7647
75	629	7648
76	640	7674
77	650	7685
78	658	7680
79	668	7687
80	677	7687
81	688	7710
82	698	7718
83	707	7710
84	715	7704
85	729	7749
86	745	7827
87	756	7839
88	765	7837
89	773	7821
90	782	7816
91	792	7821
92	803	7835
93	811	7825
94	819	7810
95	830	7822
96	843	7848
97	855	7874
98	867	7894
99	879	7911
100	933	8308
101	971	8550
102	981	8550
103	991	8541
104	1011	8625
105	1022	8627
106	1031	8606
107	1039	8581
108	1046	8557
109	1057	8560
110	1066	8542
111	1076	8533
112	1086	8529
113	1095	8516
114	1108	8530
115	1117	8514
116	1126	8499
117	1134	8478
118	1142	8459
119	1150	8440
120	1159	8420
121	1168	8409
122	1178	8401
123	1186	8381
124	1195	8365
125	1203	8350
126	1212	8333
127	1221	8320
128	1230	8305
129	1238	8291
130	1247	8272
131	1255	8258
132	1264	8240
133	1272	8223
134	1282	8217
135	1291	8205
136	1301	8199
137	1311	8193
138	1322	8190
139	1330	8170
140	1336	8142
141	1346	8134
142	1355	8121
143	1364	8110
144	1372	8092
145	1381	8081
146	1391	8072
147	1400	8061
148	1408	8045
149	1420	8050
150	1429	8038
151	1438	8025
152	1448	8021
153	1460	8023
154	1472	8030
155	1485	8039
156	1500	8058
157	1513	8066
158	1526	8074
159	1541	8092
160	1553	8093
161	1569	8116
162	1587	8152
163	1601	8163
164	1613	8163
165	1626	8170
166	1637	8166
167	1646	8153
168	1656	8145
169	1665	8130
170	1674	8120
171	1684	8110
172	1696	8109
173	1707	8106
174	1716	8094
175	1725	8079
176	1733	8061
177	1742	8045
178	1748	8020
179	1756	8001
180	1764	7983
181	1773	7969
182	1781	7953
183	1791	7943
184	1799	7927
185	1807	7910
186	1816	7897
187	1824	7879
188	1832	7865
189	1841	7850
190	1849	7835
191	1857	7817
192	1866	7803
193	1874	7787
194	1882	7771
195	1892	7761
196	1901	7750
